,state_abbr,geoid,ccid,chamber,district_name,name,dem_share,year,district_number,cc_score,seat_number,party,is_current
0,NC,37031,37031U,State Senate,State Senate District 31,Joyce Krawiec,43.6,2016.0,31,10,31,Republican,True
2,NC,37020,37020U,State Senate,State Senate District 20,Natalie Murdock,82.5,2016.0,20,9999,20,Democrat,True
4,NC,37050,37050U,State Senate,State Senate District 50,Harold Corbin,31.4,2016.0,50,26,50,Republican,True
7,NC,37021,37021U,State Senate,State Senate District 21,Benjamin Clark,65.3,2016.0,21,40,21,Democrat,True
10,NC,37043,37043U,State Senate,State Senate District 43,Kathryn Harrington,33.0,2016.0,43,13,43,Republican,True
12,NC,37040,37040U,State Senate,State Senate District 40,Joyce Waddell,71.0,2016.0,40,75,40,Democrat,True
14,NC,37019,37019U,State Senate,State Senate District 19,Kirk deViere,49.0,2016.0,19,100,19,Democrat,True
17,NC,37047,37047U,State Senate,State Senate District 47,Ralph Hise,27.6,2016.0,47,12,47,Republican,True
18,NC,37025,37025U,State Senate,State Senate District 25,Thomas McInnis,41.4,2016.0,25,10,25,Republican,True
21,NC,37012,37012U,State Senate,State Senate District 12,Jim Burgin,37.3,2016.0,12,25,12,Republican,True
24,NC,37001,37001U,State Senate,State Senate District 1,Robert Steinburg,42.5,2016.0,01,26,1,Republican,True
28,NC,37035,37035U,State Senate,State Senate District 35,Todd Johnson,33.6,2016.0,35,0,35,Republican,True
31,NC,37045,37045U,State Senate,State Senate District 45,Deanna Ballard,30.6,2016.0,45,6,45,Republican,True
34,NC,37013,37013U,State Senate,State Senate District 13,Danny Britt,43.7,2016.0,13,12,13,Republican,True
38,NC,37023,37023U,State Senate,State Senate District 23,Valerie Jean Foushee,67.4,2016.0,23,90,23,Democrat,True
40,NC,37010,37010U,State Senate,State Senate District 10,William Jackson,35.3,2016.0,10,10,10,Republican,True
42,NC,37008,37008U,State Senate,State Senate District 8,William Rabon,35.6,2016.0,08,10,8,Republican,True
44,NC,37022,37022U,State Senate,State Senate District 22,James Woodard,57.9,2016.0,22,88,22,Democrat,True
46,NC,37005,37005U,State Senate,State Senate District 5,Donald Davis,51.8,2016.0,05,72,5,Democrat,True
47,NC,37030,37030U,State Senate,State Senate District 30,Philip Berger,30.5,2016.0,30,11,30,Republican,True
50,NC,37027,37027U,State Senate,State Senate District 27,Michael Garrett,49.0,2016.0,27,100,27,Democrat,True
53,NC,37034,37034U,State Senate,State Senate District 34,Vickie Sawyer,28.1,2016.0,34,57,34,Republican,True
56,NC,37042,37042U,State Senate,State Senate District 42,Dean Proctor,27.9,2016.0,42,9999,42,Republican,True
59,NC,37026,37026U,State Senate,State Senate District 26,David Craven,28.4,2016.0,26,9999,26,Republican,True
60,NC,37014,37014U,State Senate,State Senate District 14,Daniel Blue,71.8,2016.0,14,79,14,Democrat,True
62,NC,37048,37048U,State Senate,State Senate District 48,Charles Edwards,37.7,2016.0,48,10,48,Republican,True
64,NC,37007,37007U,State Senate,State Senate District 7,Jim Perry,44.7,2016.0,07,22,7,Republican,True
67,NC,37037,37037U,State Senate,State Senate District 37,Jeffrey Jackson,54.3,2016.0,37,92,37,Democrat,True
69,NC,37009,37009U,State Senate,State Senate District 9,Michael Lee,46.5,2016.0,09,0,9,Republican,True
73,NC,37033,37033U,State Senate,State Senate District 33,Carl Ford,28.4,2016.0,33,14,33,Republican,True
76,NC,37036,37036U,State Senate,State Senate District 36,Paul Newton,37.5,2016.0,36,10,36,Republican,True
78,NC,37004,37004U,State Senate,State Senate District 4,Milton Fitch,58.9,2016.0,04,81,4,Democrat,True
81,NC,37028,37028U,State Senate,State Senate District 28,Gladys Robinson,74.1,2016.0,28,93,28,Democrat,True
83,NC,37038,37038U,State Senate,State Senate District 38,Mujtaba Mohammed,79.0,2016.0,38,100,38,Democrat,True
86,NC,37002,37002U,State Senate,State Senate District 2,Norman Sanderson,33.1,2016.0,02,16,2,Republican,True
88,NC,37039,37039U,State Senate,State Senate District 39,DeAndrea Salvador,58.3,2016.0,39,9999,39,Democrat,True
92,NC,37011,37011U,State Senate,State Senate District 11,Lisa Barnes,43.8,2016.0,11,66,11,Republican,True
96,NC,37032,37032U,State Senate,State Senate District 32,Paul Lowe,56.9,2016.0,32,68,32,Democrat,True
99,NC,37018,37018U,State Senate,State Senate District 18,Sarah Crawford,48.6,2016.0,18,9999,18,Democrat,True
102,NC,37003,37003U,State Senate,State Senate District 3,Ernestine Bazemore,53.5,2016.0,03,9999,3,Democrat,True
105,NC,37029,37029U,State Senate,State Senate District 29,Steve Jarvis,26.0,2016.0,29,66,29,Republican,True
108,NC,37044,37044U,State Senate,State Senate District 44,Ted Alexander,29.4,2016.0,44,22,44,Republican,True
111,NC,37015,37015U,State Senate,State Senate District 15,Jay Chaudhuri,58.0,2016.0,15,96,15,Democrat,True
114,NC,37024,37024U,State Senate,State Senate District 24,Amy Galey,42.6,2016.0,24,9999,24,Republican,True
117,NC,37046,37046U,State Senate,State Senate District 46,Warren Daniel,25.9,2016.0,46,14,46,Republican,True
120,NC,37041,37041U,State Senate,State Senate District 41,Natasha Marcus,57.4,2016.0,41,100,41,Democrat,True
124,NC,37016,37016U,State Senate,State Senate District 16,Wiley Nickel,61.8,2016.0,16,100,16,Democrat,True
126,NC,37049,37049U,State Senate,State Senate District 49,Julie Mayfield,58.2,2016.0,49,9999,49,Democrat,True
129,NC,37017,37017U,State Senate,State Senate District 17,Sydney Batch,49.8,2016.0,17,100,17,Democrat,True
133,NC,37006,37006U,State Senate,State Senate District 6,Michael Lazzara,31.7,2016.0,06,9999,6,Republican,True
135,OR,41011,41011U,State Senate,State Senate District 11,Peter Courtney,,,11,81,11,Democrat,True
136,OR,41018,41018U,State Senate,State Senate District 18,Ginny Burdick,,,18,86,18,Democrat,True
138,OR,41014,41014U,State Senate,State Senate District 14,Katherine Lieber,,,14,9999,14,Democrat,True
139,OR,41026,41026U,State Senate,State Senate District 26,Chuck Thomsen,,,26,32,26,Republican,True
141,OR,41021,41021U,State Senate,State Senate District 21,Kathleen Taylor,,,21,82,21,Democrat,True
143,OR,41007,41007U,State Senate,State Senate District 7,James Manning,,,07,86,7,Democrat,True
145,OR,41009,41009U,State Senate,State Senate District 9,Fred Girod,,,09,28,9,Republican,True
146,OR,41019,41019U,State Senate,State Senate District 19,Rob Wagner,,,19,94,19,Democrat,True
148,OR,41025,41025U,State Senate,State Senate District 25,Chris Gorsek,,,25,82,25,Democrat,True
150,OR,41003,41003U,State Senate,State Senate District 3,Jeffrey Golden,,,03,100,3,Democrat,True
153,OR,41029,41029U,State Senate,State Senate District 29,Bill Hansell,,,29,39,29,Republican,True
156,OR,41010,41010U,State Senate,State Senate District 10,Deb Patterson,,,10,9999,10,Democrat,True
159,OR,41020,41020U,State Senate,State Senate District 20,Bill Kennemer,,,20,38,20,Republican,True
161,OR,41008,41008U,State Senate,State Senate District 8,Sara Gelser,,,08,97,8,Democrat,True
163,OR,41022,41022U,State Senate,State Senate District 22,Lew Frederick,,,22,82,22,Democrat,True
165,OR,41015,41015U,State Senate,State Senate District 15,Charles Riley,,,15,84,15,Democrat,True
168,OR,41005,41005U,State Senate,State Senate District 5,Richard Anderson,,,05,9999,5,Republican,True
170,OR,41030,41030U,State Senate,State Senate District 30,Lynn Findley,,,30,37,30,Republican,True
174,OR,41024,41024U,State Senate,State Senate District 24,Kayse Jama,,,24,9999,24,Democrat,True
176,OR,41016,41016U,State Senate,State Senate District 16,Elizabeth Johnson,,,16,48,16,Democrat,True
177,OR,41006,41006U,State Senate,State Senate District 6,Leslee Beyer,,,06,70,6,Democrat,True
179,OR,41028,41028U,State Senate,State Senate District 28,Dennis Linthicum,,,28,13,28,Republican,True
181,OR,41012,41012U,State Senate,State Senate District 12,Brian Boquist,,,12,27,12,Republican,True
182,OR,41017,41017U,State Senate,State Senate District 17,Elizabeth Steiner Hayward,,,17,81,17,Democrat,True
184,OR,41004,41004U,State Senate,State Senate District 4,Floyd Prozanski,,,04,92,4,Democrat,True
185,OR,41001,41001U,State Senate,State Senate District 1,Dallas Heard,,,01,24,1,Republican,True
188,OR,41023,41023U,State Senate,State Senate District 23,Michael Dembrow,,,23,84,23,Democrat,True
191,OR,41002,41002U,State Senate,State Senate District 2,Art Robinson,,,02,9999,2,Republican,True
193,OR,41027,41027U,State Senate,State Senate District 27,Tim Knopp,,,27,35,27,Republican,True
196,GA,13041,13041U,State Senate,State Senate District 41,Kim Jackson,76.9,2016.0,41,9999,41,Democrat,True
198,GA,13039,13039U,State Senate,State Senate District 39,Sonya Halpern,85.1,2016.0,39,9999,39,Democrat,True
200,GA,13011,13011U,State Senate,State Senate District 11,Dean Burke,34.8,2016.0,11,63,11,Republican,True
202,GA,13032,13032U,State Senate,State Senate District 32,Kay Kirkpatrick,40.4,2016.0,32,71,32,Republican,True
204,GA,13018,13018U,State Senate,State Senate District 18,John Kennedy,36.3,2016.0,18,64,18,Republican,True
207,GA,13003,13003U,State Senate,State Senate District 3,Sheila McNeill,31.7,2016.0,03,9999,3,Republican,True
208,GA,13016,13016U,State Senate,State Senate District 16,Marty Harbin,30.2,2016.0,16,55,16,Republican,True
210,GA,13017,13017U,State Senate,State Senate District 17,Brian Strickland,40.8,2016.0,17,61,17,Republican,True
213,GA,13006,13006U,State Senate,State Senate District 6,Jennifer Jordan,55.4,2016.0,06,100,6,Democrat,True
217,GA,13031,13031U,State Senate,State Senate District 31,Jason Anavitarte,24.0,2016.0,31,9999,31,Republican,True
218,GA,13056,13056U,State Senate,State Senate District 56,John Albers,45.8,2016.0,56,63,56,Republican,True
220,GA,13020,13020U,State Senate,State Senate District 20,Larry Walker,33.5,2016.0,20,64,20,Republican,True
223,GA,13050,13050U,State Senate,State Senate District 50,Bo Hatchett,16.3,2016.0,50,9999,50,Republican,True
225,GA,13021,13021U,State Senate,State Senate District 21,Brandon Beach,27.1,2016.0,21,55,21,Republican,True
227,GA,13043,13043U,State Senate,State Senate District 43,Tonya Anderson,72.1,2016.0,43,93,43,Democrat,True
231,GA,13040,13040U,State Senate,State Senate District 40,Sally Harrell,54.0,2016.0,40,92,40,Democrat,True
234,GA,13010,13010U,State Senate,State Senate District 10,Emanuel Jones,78.9,2016.0,10,87,10,Democrat,True
236,GA,13008,13008U,State Senate,State Senate District 8,Russ Goodman,36.7,2016.0,08,9999,8,Republican,True
238,GA,13019,13019U,State Senate,State Senate District 19,Blake Tillery,26.8,2016.0,19,80,19,Republican,True
241,GA,13004,13004U,State Senate,State Senate District 4,Billy Hickman,29.4,2016.0,04,9999,4,Republican,True
242,GA,13055,13055U,State Senate,State Senate District 55,Gloria Butler,77.7,2016.0,55,90,55,Democrat,True
243,GA,13022,13022U,State Senate,State Senate District 22,Harold Jones,70.2,2016.0,22,86,22,Democrat,True
246,GA,13005,13005U,State Senate,State Senate District 5,Sheikh Rahman,72.3,2016.0,05,100,5,Democrat,True
248,GA,13030,13030U,State Senate,State Senate District 30,Michael Dugan,30.1,2016.0,30,56,30,Republican,True
250,GA,13052,13052U,State Senate,State Senate District 52,Chuck Hufstetler,23.5,2016.0,52,69,52,Republican,True
252,GA,13027,13027U,State Senate,State Senate District 27,Greg Dolezal,24.2,2016.0,27,50,27,Republican,True
255,GA,13034,13034U,State Senate,State Senate District 34,Valencia Seay,79.1,2016.0,34,81,34,Democrat,True
256,GA,13053,13053U,State Senate,State Senate District 53,Jeff Mullis,17.8,2016.0,53,58,53,Republican,True
257,GA,13042,13042U,State Senate,State Senate District 42,Elena Parent,77.7,2016.0,42,95,42,Democrat,True
260,GA,13014,13014U,State Senate,State Senate District 14,Bruce Thompson,25.2,2016.0,14,64,14,Republican,True
263,GA,13028,13028U,State Senate,State Senate District 28,Matt Brass,26.1,2016.0,28,60,28,Republican,True
266,GA,13038,13038U,State Senate,State Senate District 38,Horacena Tate,80.5,2016.0,38,89,38,Democrat,True
267,GA,13002,13002U,State Senate,State Senate District 2,Lester Jackson,70.6,2016.0,02,92,2,Democrat,True
268,GA,13049,13049U,State Senate,State Senate District 49,Butch Miller,22.8,2016.0,49,66,49,Republican,True
269,GA,13026,13026U,State Senate,State Senate District 26,David Lucas,66.4,2016.0,26,75,26,Democrat,True
271,GA,13007,13007U,State Senate,State Senate District 7,Tyler Harper,24.0,2016.0,07,63,7,Republican,True
274,GA,13048,13048U,State Senate,State Senate District 48,Michelle Au,50.6,2016.0,48,9999,48,Democrat,True
276,GA,13037,13037U,State Senate,State Senate District 37,Lindsey Tippins,37.3,2016.0,37,58,37,Republican,True
279,GA,13009,13009U,State Senate,State Senate District 9,Nikki Merritt,43.1,2016.0,09,9999,9,Democrat,True
281,GA,13033,13033U,State Senate,State Senate District 33,Michael Rhett,61.1,2016.0,33,93,33,Democrat,True
283,GA,13036,13036U,State Senate,State Senate District 36,Nan Orrock,87.7,2016.0,36,95,36,Democrat,True
284,GA,13029,13029U,State Senate,State Senate District 29,Randy Robertson,35.7,2016.0,29,64,29,Republican,True
287,GA,13015,13015U,State Senate,State Senate District 15,Ed Harbison,68.4,2016.0,15,83,15,Democrat,True
288,GA,13044,13044U,State Senate,State Senate District 44,Gail Davenport,85.4,2016.0,44,88,44,Democrat,True
290,GA,13024,13024U,State Senate,State Senate District 24,Lee Anderson,29.6,2016.0,24,75,24,Republican,True
292,GA,13046,13046U,State Senate,State Senate District 46,Bill Cowsert,38.1,2016.0,46,56,46,Republican,True
293,GA,13047,13047U,State Senate,State Senate District 47,Frank Ginn,31.4,2016.0,47,56,47,Republican,True
295,GA,13025,13025U,State Senate,State Senate District 25,Burt Jones,33.4,2016.0,25,57,25,Republican,True
297,GA,13012,13012U,State Senate,State Senate District 12,Freddie Sims,62.3,2016.0,12,69,12,Democrat,True
298,GA,13001,13001U,State Senate,State Senate District 1,Ben Watson,37.4,2016.0,01,70,1,Republican,True
301,GA,13035,13035U,State Senate,State Senate District 35,Donzella James,76.0,2016.0,35,87,35,Democrat,True
304,GA,13045,13045U,State Senate,State Senate District 45,Clint Dixon,37.1,2016.0,45,9999,45,Republican,True
306,GA,13023,13023U,State Senate,State Senate District 23,Max Burns,40.1,2016.0,23,9999,23,Republican,True
307,GA,13013,13013U,State Senate,State Senate District 13,Carden Summers,30.3,2016.0,13,77,13,Republican,True
310,GA,13054,13054U,State Senate,State Senate District 54,Chuck Payne,20.3,2016.0,54,75,54,Republican,True
313,GA,13051,13051U,State Senate,State Senate District 51,Steve Gooch,15.5,2016.0,51,40,51,Republican,True
315,WA,53049,53049U,State Senate,State Senate District 49,Annette Cleveland,,,49,95,49,Democrat,True
317,WA,53017,53017U,State Senate,State Senate District 17,Lynda Wilson,,,17,14,17,Republican,True
319,WA,53006,53006U,State Senate,State Senate District 6,Jeff Holy,,,06,20,6,Republican,True
322,WA,53020,53020U,State Senate,State Senate District 20,John Braun,,,20,17,20,Republican,True
324,WA,53031,53031U,State Senate,State Senate District 31,Phil Fortunato,,,31,6,31,Republican,True
326,WA,53021,53021U,State Senate,State Senate District 21,Marko Liias,,,21,88,21,Democrat,True
328,WA,53043,53043U,State Senate,State Senate District 43,Jamie Pedersen,,,43,100,43,Democrat,True
330,WA,53040,53040U,State Senate,State Senate District 40,Liz Lovelett,,,40,100,40,Democrat,True
332,WA,53019,53019U,State Senate,State Senate District 19,Jeff Wilson,,,19,9999,19,Republican,True
335,WA,53047,53047U,State Senate,State Senate District 47,Mona Das,,,47,100,47,Democrat,True
338,WA,53025,53025U,State Senate,State Senate District 25,Chris Gildon,,,25,25,25,Republican,True
342,WA,53012,53012U,State Senate,State Senate District 12,Brad Hawkins,,,12,32,12,Republican,True
344,WA,53001,53001U,State Senate,State Senate District 1,Derek Stanford,,,01,95,1,Democrat,True
347,WA,53035,53035U,State Senate,State Senate District 35,Tim Sheldon,,,35,23,35,Democrat,True
348,WA,53045,53045U,State Senate,State Senate District 45,Manka Dhingra,,,45,100,45,Democrat,True
352,WA,53023,53023U,State Senate,State Senate District 23,Christine Rolfes,,,23,93,23,Democrat,True
354,WA,53013,53013U,State Senate,State Senate District 13,Judith Warnick,,,13,21,13,Republican,True
356,WA,53010,53010U,State Senate,State Senate District 10,Ron Muzzall,,,10,0,10,Republican,True
359,WA,53008,53008U,State Senate,State Senate District 8,Sharon Brown,,,08,4,8,Republican,True
361,WA,53022,53022U,State Senate,State Senate District 22,Samuel Hunt,,,22,92,22,Democrat,True
363,WA,53005,53005U,State Senate,State Senate District 5,Mark Mullet,,,05,86,5,Democrat,True
365,WA,53030,53030U,State Senate,State Senate District 30,Claire Wilson,,,30,100,30,Democrat,True
368,WA,53027,53027U,State Senate,State Senate District 27,Jeannie Darneille,,,27,85,27,Democrat,True
370,WA,53034,53034U,State Senate,State Senate District 34,Joe Nguyen,,,34,100,34,Democrat,True
373,WA,53042,53042U,State Senate,State Senate District 42,Douglas Ericksen,,,42,23,42,Republican,True
375,WA,53014,53014U,State Senate,State Senate District 14,Curtis King,,,14,17,14,Republican,True
376,WA,53026,53026U,State Senate,State Senate District 26,Emily Randall,,,26,100,26,Democrat,True
380,WA,53007,53007U,State Senate,State Senate District 7,Shelly Short,,,07,18,7,Republican,True
383,WA,53048,53048U,State Senate,State Senate District 48,Patty Kuderer,,,48,97,48,Democrat,True
386,WA,53037,53037U,State Senate,State Senate District 37,Rebecca Saldana,,,37,100,37,Democrat,True
389,WA,53009,53009U,State Senate,State Senate District 9,Mark Schoesler,,,09,8,9,Republican,True
390,WA,53033,53033U,State Senate,State Senate District 33,Karen Keiser,,,33,93,33,Democrat,True
391,WA,53036,53036U,State Senate,State Senate District 36,Reuven Carlyle,,,36,88,36,Democrat,True
393,WA,53004,53004U,State Senate,State Senate District 4,Mike Padden,,,04,4,4,Republican,True
395,WA,53028,53028U,State Senate,State Senate District 28,T'wina Nobles,,,28,9999,28,Democrat,True
398,WA,53038,53038U,State Senate,State Senate District 38,June Robinson,,,38,89,38,Democrat,True
402,WA,53002,53002U,State Senate,State Senate District 2,James McCune,,,02,9999,2,Republican,True
404,WA,53039,53039U,State Senate,State Senate District 39,Keith Wagoner,,,39,19,39,Republican,True
407,WA,53011,53011U,State Senate,State Senate District 11,Robert Hasegawa,,,11,89,11,Democrat,True
409,WA,53032,53032U,State Senate,State Senate District 32,Jesse Salomon,,,32,100,32,Democrat,True
412,WA,53018,53018U,State Senate,State Senate District 18,Anna Rivers,,,18,15,18,Republican,True
414,WA,53003,53003U,State Senate,State Senate District 3,Andrew Billig,,,03,87,3,Democrat,True
415,WA,53029,53029U,State Senate,State Senate District 29,Steven Conway,,,29,86,29,Democrat,True
417,WA,53015,53015U,State Senate,State Senate District 15,Jim Honeyford,,,15,4,15,Republican,True
418,WA,53044,53044U,State Senate,State Senate District 44,Steven Hobbs,,,44,71,44,Democrat,True
419,WA,53024,53024U,State Senate,State Senate District 24,Kevin Van De Wege,,,24,76,24,Democrat,True
421,WA,53041,53041U,State Senate,State Senate District 41,Lisa Wellman,,,41,100,41,Democrat,True
425,WA,53046,53046U,State Senate,State Senate District 46,David Frockt,,,46,97,46,Democrat,True
428,WA,53016,53016U,State Senate,State Senate District 16,Perry Dozier,,,16,9999,16,Republican,True
431,ME,23012,23012U,State Senate,State Senate District 12,David Miramant,,,12,100,12,Democrat,True
433,ME,23001,23001U,State Senate,State Senate District 1,Troy Jackson,,,01,100,1,Democrat,True
436,ME,23013,23013U,State Senate,State Senate District 13,Chloe Maxmin,,,13,100,13,Democrat,True
439,ME,23002,23002U,State Senate,State Senate District 2,Harold Stewart,,,02,38,2,Republican,True
443,ME,23032,23032U,State Senate,State Senate District 32,Susan Deschambault,,,32,100,32,Democrat,True
446,ME,23003,23003U,State Senate,State Senate District 3,Bradlee Farrin,,,03,56,3,Republican,True
449,ME,23008,23008U,State Senate,State Senate District 8,Kimberley Rosen,,,08,85,8,Republican,True
450,ME,23022,23022U,State Senate,State Senate District 22,Jeffrey Timberlake,,,22,23,22,Republican,True
454,ME,23015,23015U,State Senate,State Senate District 15,Matthew Pouliot,,,15,68,15,Republican,True
459,ME,23030,23030U,State Senate,State Senate District 30,Stacy Brenner,,,30,9999,30,Democrat,True
464,ME,23024,23024U,State Senate,State Senate District 24,Matthea Larsen Daughtry,,,24,100,24,Democrat,True
469,ME,23016,23016U,State Senate,State Senate District 16,Scott Cyrway,,,16,59,16,Republican,True
470,ME,23009,23009U,State Senate,State Senate District 9,Joseph Baldacci,,,09,9999,9,Democrat,True
473,ME,23033,23033U,State Senate,State Senate District 33,David Woodsome,,,33,77,33,Republican,True
475,ME,23019,23019U,State Senate,State Senate District 19,Richard Bennett,,,19,9999,19,Republican,True
478,ME,23004,23004U,State Senate,State Senate District 4,Paul Davis,,,04,72,4,Republican,True
480,ME,23025,23025U,State Senate,State Senate District 25,Catherine Breen,,,25,100,25,Democrat,True
483,ME,23028,23028U,State Senate,State Senate District 28,Heather Sanborn,,,28,100,28,Democrat,True
487,ME,23005,23005U,State Senate,State Senate District 5,James Dill,,,05,95,5,Democrat,True
488,ME,23027,23027U,State Senate,State Senate District 27,Benjamin Chipman,,,27,100,27,Democrat,True
492,ME,23034,23034U,State Senate,State Senate District 34,Joseph Rafferty,,,34,9999,34,Democrat,True
495,ME,23017,23017U,State Senate,State Senate District 17,Russell Black,,,17,86,17,Republican,True
498,ME,23006,23006U,State Senate,State Senate District 6,Marianne Moore,,,06,87,6,Republican,True
503,ME,23031,23031U,State Senate,State Senate District 31,Donna Bailey,,,31,94,31,Democrat,True
508,ME,23020,23020U,State Senate,State Senate District 20,Ned Claxton,,,20,100,20,Democrat,True
511,ME,23026,23026U,State Senate,State Senate District 26,William Diamond,,,26,100,26,Democrat,True
514,ME,23014,23014U,State Senate,State Senate District 14,Craig Hickman,,,14,100,14,Democrat,True
517,ME,23021,23021U,State Senate,State Senate District 21,Nathan Libby,,,21,95,21,Democrat,True
519,ME,23007,23007U,State Senate,State Senate District 7,Louis Luchini,,,07,100,7,Democrat,True
523,ME,23010,23010U,State Senate,State Senate District 10,Stacey Guerin,,,10,52,10,Republican,True
525,ME,23029,23029U,State Senate,State Senate District 29,Anne Carney,,,29,100,29,Democrat,True
527,ME,23035,23035U,State Senate,State Senate District 35,Mark Lawrence,,,35,100,35,Democrat,True
529,ME,23023,23023U,State Senate,State Senate District 23,Eloise Vitelli,,,23,100,23,Democrat,True
532,ME,23011,23011U,State Senate,State Senate District 11,Glenn Curry,,,11,9999,11,Democrat,True
537,ME,23018,23018U,State Senate,State Senate District 18,Lisa Keim,,,18,82,18,Republican,True
540,NY,36049,36049U,State Senate,State Senate District 49,James Tedisco,,,49,70,49,Republican,True
542,NY,36017,36017U,State Senate,State Senate District 17,Simcha Felder,,,17,82,17,Democrat,True
543,NY,36006,36006U,State Senate,State Senate District 6,Kevin Thomas,,,06,100,6,Democrat,True
545,NY,36020,36020U,State Senate,State Senate District 20,Zellnor Myrie,,,20,100,20,Democrat,True
548,NY,36056,36056U,State Senate,State Senate District 56,Jeremy Cooney,,,56,9999,56,Democrat,True
550,NY,36031,36031U,State Senate,State Senate District 31,Robert Jackson,,,31,100,31,Democrat,True
554,NY,36050,36050U,State Senate,State Senate District 50,John Mannion,,,50,9999,50,Democrat,True
557,NY,36021,36021U,State Senate,State Senate District 21,Kevin Parker,,,21,92,21,Democrat,True
558,NY,36043,36043U,State Senate,State Senate District 43,Daphne Jordan,,,43,53,43,Republican,True
561,NY,36040,36040U,State Senate,State Senate District 40,Peter Harckham,,,40,100,40,Democrat,True
565,NY,36019,36019U,State Senate,State Senate District 19,Roxanne Persaud,,,19,94,19,Democrat,True
567,NY,36047,36047U,State Senate,State Senate District 47,Joseph Griffo,,,47,75,47,Republican,True
568,NY,36062,36062U,State Senate,State Senate District 62,Robert Ortt,,,62,71,62,Republican,True
570,NY,36025,36025U,State Senate,State Senate District 25,Jabari Brisport,,,25,9999,25,Democrat,True
572,NY,36012,36012U,State Senate,State Senate District 12,Michael Gianaris,,,12,97,12,Democrat,True
574,NY,36035,36035U,State Senate,State Senate District 35,Andrea Stewart-Cousins,,,35,100,35,Democrat,True
575,NY,36001,36001U,State Senate,State Senate District 1,Anthony Palumbo,,,01,86,1,Republican,True
577,NY,36045,36045U,State Senate,State Senate District 45,Daniel Stec,,,45,77,45,Republican,True
579,NY,36013,36013U,State Senate,State Senate District 13,Jessica Ramos,,,13,100,13,Democrat,True
582,NY,36023,36023U,State Senate,State Senate District 23,Diane Savino,,,23,93,23,Democrat,True
583,NY,36060,36060U,State Senate,State Senate District 60,Sean Ryan,,,60,94,60,Democrat,True
588,NY,36054,36054U,State Senate,State Senate District 54,Pamela Helming,,,54,79,54,Republican,True
590,NY,36051,36051U,State Senate,State Senate District 51,Peter Oberacker,,,51,9999,51,Republican,True
592,NY,36010,36010U,State Senate,State Senate District 10,James Sanders,,,10,97,10,Democrat,True
594,NY,36008,36008U,State Senate,State Senate District 8,John Brooks,,,08,97,8,Democrat,True
597,NY,36022,36022U,State Senate,State Senate District 22,Andrew Gounardes,,,22,100,22,Democrat,True
599,NY,36005,36005U,State Senate,State Senate District 5,James Gaughran,,,05,100,5,Democrat,True
601,NY,36030,36030U,State Senate,State Senate District 30,Brian Benjamin,,,30,97,30,Democrat,True
603,NY,36052,36052U,State Senate,State Senate District 52,Fred Akshar,,,52,66,52,Republican,True
605,NY,36027,36027U,State Senate,State Senate District 27,Brad Hoylman,,,27,100,27,Democrat,True
608,NY,36034,36034U,State Senate,State Senate District 34,Alessandra Biaggi,,,34,100,34,Democrat,True
610,NY,36053,36053U,State Senate,State Senate District 53,Rachel May,,,53,100,53,Democrat,True
613,NY,36042,36042U,State Senate,State Senate District 42,Mike Martucci,,,42,9999,42,Republican,True
616,NY,36014,36014U,State Senate,State Senate District 14,Leroy Comrie,,,14,97,14,Democrat,True
618,NY,36026,36026U,State Senate,State Senate District 26,Brian Kavanagh,,,26,96,26,Democrat,True
620,NY,36048,36048U,State Senate,State Senate District 48,Patricia Ritchie,,,48,80,48,Republican,True
622,NY,36007,36007U,State Senate,State Senate District 7,Anna Kaplan,,,07,100,7,Democrat,True
626,NY,36059,36059U,State Senate,State Senate District 59,Patrick Gallivan,,,59,71,59,Republican,True
628,NY,36037,36037U,State Senate,State Senate District 37,Shelley Mayer,,,37,94,37,Democrat,True
631,NY,36009,36009U,State Senate,State Senate District 9,Todd Kaminsky,,,09,96,9,Democrat,True
633,NY,36033,36033U,State Senate,State Senate District 33,Gustavo Rivera,,,33,100,33,Democrat,True
635,NY,36036,36036U,State Senate,State Senate District 36,Jamaal Bailey,,,36,97,36,Democrat,True
638,NY,36058,36058U,State Senate,State Senate District 58,Thomas Omara,,,58,75,58,Republican,True
640,NY,36004,36004U,State Senate,State Senate District 4,Philip Boyle,,,04,86,4,Republican,True
642,NY,36055,36055U,State Senate,State Senate District 55,Samra Brouk,,,55,9999,55,Democrat,True
646,NY,36028,36028U,State Senate,State Senate District 28,Liz Krueger,,,28,93,28,Democrat,True
647,NY,36057,36057U,State Senate,State Senate District 57,George Borrello,,,57,0,57,Republican,True
649,NY,36038,36038U,State Senate,State Senate District 38,Elijah Reichlin-Melnick,,,38,9999,38,Democrat,True
652,NY,36002,36002U,State Senate,State Senate District 2,Mario Mattera,,,02,9999,2,Republican,True
654,NY,36039,36039U,State Senate,State Senate District 39,James Skoufis,,,39,96,39,Democrat,True
656,NY,36011,36011U,State Senate,State Senate District 11,John Liu,,,11,100,11,Democrat,True
659,NY,36032,36032U,State Senate,State Senate District 32,Luis Sepulveda,,,32,94,32,Democrat,True
661,NY,36061,36061U,State Senate,State Senate District 61,Edward Rath III,,,61,9999,61,Republican,True
663,NY,36018,36018U,State Senate,State Senate District 18,Julia Salazar,,,18,100,18,Democrat,True
665,NY,36003,36003U,State Senate,State Senate District 3,Alexis Weik,,,03,9999,3,Republican,True
